さいたま市町名別人口,2022/2/28,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11104,見沼区　　               ,砂町２丁目　　　　　,スナチヨウ２チヨウメ,1,1,0,1
11104,見沼区　　               ,堀崎町　　　　　　　,ホリサキチヨウ　　　,3711,4084,4147,8231
11104,見沼区　　               ,島町　　　　　　　　,シマチヨウ　　　　　,2179,2406,2536,4942
11104,見沼区　　               ,島町１丁目　　　　　,シマチヨウ１チヨウメ,193,257,257,514
11104,見沼区　　               ,島町２丁目　　　　　,シマチヨウ２チヨウメ,160,251,228,479
11104,見沼区　　               ,東大宮１丁目　　　　,ヒガシオオミヤ１チヨ,1443,1512,1518,3030
11104,見沼区　　               ,東大宮２丁目　　　　,ヒガシオオミヤ２チヨ,1387,1359,1404,2763
11104,見沼区　　               ,東大宮３丁目　　　　,ヒガシオオミヤ３チヨ,1218,1139,1366,2505
11104,見沼区　　               ,東大宮４丁目　　　　,ヒガシオオミヤ４チヨ,2764,2598,2590,5188
11104,見沼区　　               ,東大宮５丁目　　　　,ヒガシオオミヤ５チヨ,1824,1601,1625,3226
11104,見沼区　　               ,東大宮６丁目　　　　,ヒガシオオミヤ６チヨ,1936,1933,1881,3814
11104,見沼区　　               ,東大宮７丁目　　　　,ヒガシオオミヤ７チヨ,2396,2474,2422,4896
11104,見沼区　　               ,大字片柳　　　　　　,カタヤナギ　　　　　,819,842,860,1702
11104,見沼区　　               ,片柳１丁目　　　　　,カタヤナギ１チヨウメ,175,187,190,377
11104,見沼区　　               ,片柳２丁目　　　　　,カタヤナギ２チヨウメ,55,65,64,129
11104,見沼区　　               ,片柳東　　　　　　　,カタヤナギヒガシ　　,5,10,7,17
11104,見沼区　　               ,大字山　　　　　　　,ヤマ　　　　　　　　,225,243,276,519
11104,見沼区　　               ,大字染谷　　　　　　,ソメヤ　　　　　　　,268,332,292,624
11104,見沼区　　               ,染谷１丁目　　　　　,ソメヤ１チヨウメ　　,92,111,113,224
11104,見沼区　　               ,染谷２丁目　　　　　,ソメヤ２チヨウメ　　,83,87,69,156
11104,見沼区　　               ,染谷３丁目　　　　　,ソメヤ３チヨウメ　　,325,333,348,681
11104,見沼区　　               ,大字東新井　　　　　,ヒガシアライ　　　　,1994,1949,2121,4070
