No,区分,施設名,大分類,中分類,小分類,細分類,所在地,経度,緯度
475,児童センター,与野本町児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,中央区本町東５丁目17番25,139.620388,35.8905
476,児童センター,向原児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,中央区下落合７丁目11番9,139.63156,35.881415
477,児童センター,大戸児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,中央区大戸６丁目2番19,139.634816,35.867172
478,児童センター,馬宮児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,西区大字西遊馬533番1,139.572728,35.905091
479,児童センター,大久保東児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,桜区大字大久保領家131番6,139.608243,35.86956
480,児童センター,岩槻児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,岩槻区本町１丁目11番11,139.691866,35.946719
481,児童センター,仲本児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,浦和区東仲町28番15,139.660108,35.860725
482,児童センター,尾間木児童センター,市民利用施設,保健福祉系施設,児童福祉施設,児童センター,緑区大字大間木472番,139.693833,35.87428
483,放課後児童クラブ,谷田放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区太田窪５丁目10番6,139.6779167,35.8563425
484,放課後児童クラブ,常盤放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区常盤９丁目30番9,139.644761,35.8689472
485,放課後児童クラブ,大谷場放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区南浦和１丁目18番3,139.6679633,35.8527792
486,放課後児童クラブ,西浦和放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区田島２丁目16番7,139.6314637,35.8434562
487,放課後児童クラブ,大久保東放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区大字大久保領家331番,139.6040776,35.871326
488,放課後児童クラブ,三室放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,緑区松木１丁目4番11,139.6847253,35.8842246
489,放課後児童クラブ,上木崎放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区上木崎３丁目11番33,139.6446804,35.8886409
490,放課後児童クラブ,中尾放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,緑区大字中尾40番1,139.6821471,35.8687623
491,放課後児童クラブ,土合放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区南元宿１丁目11番1,139.6264248,35.858801
492,放課後児童クラブ,仲町放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区仲町４丁目7番6,139.6451647,35.8601784
493,放課後児童クラブ,南浦和放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区南本町１丁目18番13,139.6655522,35.8442508
494,放課後児童クラブ,沼影放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区曲本４丁目7番6,139.6403744,35.8378645
495,放課後児童クラブ,栄和放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区栄和１丁目7番1,139.6173915,35.8613438
496,放課後児童クラブ,辻放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区辻６丁目3番28,139.6583359,35.8332822
497,放課後児童クラブ,北浦和放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区北浦和２丁目18番3,139.6491285,35.8771269
498,放課後児童クラブ,木崎放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区領家４丁目20番1,139.6536774,35.8824363
499,放課後児童クラブ,善前放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,南区大字太田窪2500番1,139.6871988,35.8540178
500,放課後児童クラブ,田島放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区田島１０丁目7番14,139.6233547,35.8389981
