さいたま市町名別人口,2022/1/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11105,中央区　　               ,下落合４丁目　　　　,シモオチアイ４チヨウ,850,768,774,1542
11105,中央区　　               ,下落合５丁目　　　　,シモオチアイ５チヨウ,742,692,693,1385
11105,中央区　　               ,下落合６丁目　　　　,シモオチアイ６チヨウ,1069,926,930,1856
11105,中央区　　               ,下落合７丁目　　　　,シモオチアイ７チヨウ,771,720,738,1458
11105,中央区　　               ,鈴谷１丁目　　　　　,スズヤ１チヨウメ　　,93,82,87,169
11105,中央区　　               ,鈴谷２丁目　　　　　,スズヤ２チヨウメ　　,688,688,720,1408
11105,中央区　　               ,鈴谷３丁目　　　　　,スズヤ３チヨウメ　　,739,702,691,1393
11105,中央区　　               ,鈴谷４丁目　　　　　,スズヤ４チヨウメ　　,1419,1415,1485,2900
11105,中央区　　               ,鈴谷５丁目　　　　　,スズヤ５チヨウメ　　,521,512,492,1004
11105,中央区　　               ,鈴谷６丁目　　　　　,スズヤ６チヨウメ　　,624,687,657,1344
11105,中央区　　               ,鈴谷７丁目　　　　　,スズヤ７チヨウメ　　,1244,1373,1443,2816
11105,中央区　　               ,鈴谷８丁目　　　　　,スズヤ８チヨウメ　　,541,507,484,991
11105,中央区　　               ,鈴谷９丁目　　　　　,スズヤ９チヨウメ　　,163,130,105,235
11105,中央区　　               ,大戸１丁目　　　　　,オオト１チヨウメ　　,1072,1158,1097,2255
11105,中央区　　               ,大戸２丁目　　　　　,オオト２チヨウメ　　,445,466,443,909
11105,中央区　　               ,大戸３丁目　　　　　,オオト３チヨウメ　　,561,635,631,1266
11105,中央区　　               ,大戸４丁目　　　　　,オオト４チヨウメ　　,809,924,900,1824
11105,中央区　　               ,大戸５丁目　　　　　,オオト５チヨウメ　　,1075,1051,1110,2161
11105,中央区　　               ,大戸６丁目　　　　　,オオト６チヨウメ　　,671,671,675,1346
11105,中央区　　               ,八王子１丁目　　　　,ハチオウジ１チヨウメ,127,101,108,209
11105,中央区　　               ,八王子２丁目　　　　,ハチオウジ２チヨウメ,413,454,515,969
11105,中央区　　               ,八王子３丁目　　　　,ハチオウジ３チヨウメ,868,1019,958,1977
11105,中央区　　               ,八王子４丁目　　　　,ハチオウジ４チヨウメ,277,303,317,620
11105,中央区　　               ,八王子５丁目　　　　,ハチオウジ５チヨウメ,807,834,881,1715
11105,中央区　　               ,上峰１丁目　　　　　,ウエミネ１チヨウメ　,802,765,755,1520
11105,中央区　　               ,上峰２丁目　　　　　,ウエミネ２チヨウメ　,951,931,931,1862
11105,中央区　　               ,上峰３丁目　　　　　,ウエミネ３チヨウメ　,754,714,681,1395
11105,中央区　　               ,上峰４丁目　　　　　,ウエミネ４チヨウメ　,537,481,498,979
11105,中央区　　               ,円阿弥１丁目　　　　,エンナミ１チヨウメ　,23,37,43,80
11105,中央区　　               ,円阿弥２丁目　　　　,エンナミ２チヨウメ　,259,325,326,651
11105,中央区　　               ,円阿弥３丁目　　　　,エンナミ３チヨウメ　,124,115,130,245
11105,中央区　　               ,円阿弥４丁目　　　　,エンナミ４チヨウメ　,512,565,556,1121
11105,中央区　　               ,円阿弥５丁目　　　　,エンナミ５チヨウメ　,647,858,858,1716
11105,中央区　　               ,円阿弥６丁目　　　　,エンナミ６チヨウメ　,65,71,73,144
11105,中央区　　               ,円阿弥７丁目　　　　,エンナミ７チヨウメ　,268,292,269,561
11105,中央区　　               ,桜丘１丁目　　　　　,サクラオカ１チヨウメ,675,751,771,1522
11105,中央区　　               ,桜丘２丁目　　　　　,サクラオカ２チヨウメ,468,535,534,1069
11105,中央区　　               ,本町西１丁目　　　　,ホンマチニシ１チヨウ,683,656,657,1313
11105,中央区　　               ,本町西２丁目　　　　,ホンマチニシ２チヨウ,512,524,533,1057
11105,中央区　　               ,本町西３丁目　　　　,ホンマチニシ３チヨウ,879,876,893,1769
11105,中央区　　               ,本町西４丁目　　　　,ホンマチニシ４チヨウ,684,755,741,1496
11105,中央区　　               ,本町西５丁目　　　　,ホンマチニシ５チヨウ,495,671,685,1356
11105,中央区　　               ,本町西６丁目　　　　,ホンマチニシ６チヨウ,158,164,186,350
11105,中央区　　               ,本町東１丁目　　　　,ホンマチヒガシ１チヨ,564,510,556,1066
11105,中央区　　               ,本町東２丁目　　　　,ホンマチヒガシ２チヨ,675,557,551,1108
11105,中央区　　               ,本町東３丁目　　　　,ホンマチヒガシ３チヨ,615,598,563,1161
11105,中央区　　               ,本町東４丁目　　　　,ホンマチヒガシ４チヨ,939,879,911,1790
11105,中央区　　               ,本町東５丁目　　　　,ホンマチヒガシ５チヨ,789,771,790,1561
