種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,指定緊急避難場所との重複
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,桜木小学校,埼玉県さいたま市大宮区桜木町4-328-9,35.90340838,139.6171378,サクラギショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,三橋小学校,埼玉県さいたま市大宮区三橋2-20,35.90375307,139.6047356,ミハシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大成小学校,埼玉県さいたま市大宮区大成町2-282,35.91454818,139.6137674,オオナリショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,芝川小学校,埼玉県さいたま市大宮区天沼町2-1077,35.90511178,139.644726,シバカワショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,上小小学校,埼玉県さいたま市大宮区上小町1337-1,35.89653949,139.6167417,カミコショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮東中学校,埼玉県さいたま市大宮区堀の内町1-99,35.90812015,139.6346986,オオミヤヒガシチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮南中学校,埼玉県さいたま市大宮区天沼町2-362,35.89906582,139.6365612,オオミヤミナミチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮北中学校,埼玉県さいたま市大宮区寿能町1-21,35.92154552,139.6327926,オオミヤキタチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,桜木中学校,埼玉県さいたま市大宮区桜木町4-219,35.90532862,139.6164799,サクラギチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,三橋中学校,埼玉県さいたま市大宮区三橋1-1300,35.90484885,139.6022751,ミハシチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大成中学校,埼玉県さいたま市大宮区大成町2-379,35.91306243,139.6128929,オオナリチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,第二東中学校,埼玉県さいたま市大宮区天沼町1-760,35.90902246,139.6449913,ダイニヒガシチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮国際中等教育学校,埼玉県さいたま市大宮区三橋4-96,35.89618927,139.5990059,オオミヤコクサイチュウトウキョウイクガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮高等学校,埼玉県さいたま市大宮区天沼町2-323,35.90007673,139.6367261,ケンリツオオミヤコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮南公民館,埼玉県さいたま市大宮区吉敷町4-223-2,35.8983632,139.6357565,オオミヤミナミコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮中部公民館,埼玉県さいたま市大宮区仲町3-30-2,35.90509,139.6289372,オオミヤチュウブコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮北公民館,埼玉県さいたま市大宮区宮町3-113-3,35.9114919,139.6285705,オオミヤキタコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,三橋公民館,埼玉県さいたま市大宮区三橋2-20,35.9037175,139.6046336,ミハシコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大成公民館,埼玉県さいたま市大宮区大成町2-335-1,35.9139355,139.6115164,オオナリコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮東公民館,埼玉県さいたま市大宮区堀の内町3-140,35.9141166,139.6366255,オオミヤヒガシコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮ふれあい福祉センター,埼玉県さいたま市大宮区土手町1-213-1,35.9157162,139.6213877,オオミヤフレアイフクシセンター,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大砂土東小学校,埼玉県さいたま市見沼区大和田町2-998,35.93744315,139.646651,オオサトヒガシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,見沼小学校,埼玉県さいたま市見沼区東大宮2-45,35.94880195,139.6325794,ミヌマショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,片柳小学校,埼玉県さいたま市見沼区東新井244-1,35.91063345,139.6705108,カタヤナギショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,七里小学校,埼玉県さいたま市見沼区東宮下312,35.92919715,139.6761076,ナナサトショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,春岡小学校,埼玉県さいたま市見沼区春岡2-29-1,35.94947455,139.6619557,ハルオカショウガッコウ,あり
