種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,地震,洪水,崖崩れ,大規模な火事,指定避難所との重複
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,七里中学校,埼玉県さいたま市見沼区東宮下1-1-1,35.92771862,139.6808516,ナナサトチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大谷中学校,埼玉県さいたま市見沼区大字大谷1634-2,35.92526686,139.6667605,オオヤチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大宮八幡中学校,埼玉県さいたま市見沼区大字南中丸357,35.91919511,139.6534309,オオミヤヤハタチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,春野中学校,埼玉県さいたま市見沼区春野2-2-1,35.95645041,139.663188,ハルノチュウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立大宮商業高等学校,埼玉県さいたま市見沼区大和田町1-356,35.9274284,139.6452851,ケンリツオオミヤショウギョウコウトウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立大宮東高等学校,埼玉県さいたま市見沼区大字膝子567,35.92659768,139.6851227,ケンリツオオミヤヒガシコウトウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,東大宮中央公園,埼玉県さいたま市見沼区東大宮5-42-1,35.94935325,139.6445412,ヒガシオオミヤチュウオウコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,堀の内公園,埼玉県さいたま市見沼区東大宮2-15,35.94614,139.636928,ホリノウチコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,藁田島公園,埼玉県さいたま市見沼区東大宮6-42,35.9516791,139.6503508,ワラタジマコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,観音寺下公園,埼玉県さいたま市見沼区深作2-7,35.9522298,139.6681731,カンノンジシタコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,堀崎公園,埼玉県さいたま市見沼区堀崎町12-1,35.9362341,139.653336,ホリサキコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,七里総合公園,埼玉県さいたま市見沼区大字大谷、大字膝子,35.92357581,139.680279,ナナサトソウゴウコウエン,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,砂中央公園,埼玉県さいたま市見沼区東大宮7-42,35.94032004,139.6466382,スナチュウオウコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,鎌倉公園,埼玉県さいたま市見沼区大字御蔵1393-1,35.90437544,139.665315,カマクラコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,春岡中央公園,埼玉県さいたま市見沼区春岡3-42-1,35.94763705,139.6589172,ハルオカチュウオウコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,アーバンみらい公園,埼玉県さいたま市見沼区春野1-1634-3,35.95557027,139.6659979,アーバンミライコウエン,可,不可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,芝浦工業大学,埼玉県さいたま市見沼区大字深作307,35.95176318,139.6532867,シバウラコウギョウダイガク,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野本町小学校,埼玉県さいたま市中央区本町東3-5-23,35.88364161,139.6226996,ヨノホンマチショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,上落合小学校,埼玉県さいたま市中央区上落合4-14-24,35.89401982,139.6255678,カミオチアイショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大戸小学校,埼玉県さいたま市中央区新中里1-6-28,35.87246101,139.6361299,オオトショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,下落合小学校,埼玉県さいたま市中央区上落合1-7-33,35.89017158,139.6312782,シモオチアイショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野西北小学校,埼玉県さいたま市中央区円阿弥4-3-7,35.88792696,139.6077708,ヨノセイホクショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,鈴谷小学校,埼玉県さいたま市中央区鈴谷5-1-1,35.87138078,139.6311389,スズヤショウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野八幡小学校,埼玉県さいたま市中央区本町東5-23-14,35.89092386,139.6219835,ヨノハチマンショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野南小学校,埼玉県さいたま市中央区大戸6-2-25,35.86658564,139.6353309,ヨノミナミショウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野東中学校,埼玉県さいたま市中央区下落合3-21-10,35.88832,139.632132,ヨノヒガシチュウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野西中学校,埼玉県さいたま市中央区鈴谷8-10-33,35.87797197,139.623652,ヨノニシチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,与野南中学校,埼玉県さいたま市中央区大戸2-6-25,35.86560243,139.6347208,ヨノミナミチュウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,八王子中学校,埼玉県さいたま市中央区八王子4-2-1,35.87843578,139.6080308,ハギオウジチュウガコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立いずみ高等学校,埼玉県さいたま市中央区円阿弥7-4-1,35.89391885,139.6102948,ケンリツイズミコウトウガッコウ,可,可,可,,あり
