団体コード,団体名,施設_名称,施設_電話番号,施設_住所_表記,lat,lon,施設_種別,サービス_対象［利用可能日齢］,施設_収容人数［総定員］人数,施設_保育開始時間,施設_保育終了時間
11007,さいたま市,上小保育園,"048-
643-4436
",さいたま市大宮区上小町845-4,35.9000089,139.6113249,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,七里保育園,"048-
685-2717
",さいたま市見沼区大谷1985,35.9266013,139.6754239,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,大成保育園,"048-
667-2559
",さいたま市大宮区大成町3丁目655-1,35.915505,139.611419,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,片柳保育園,"048-
685-4611
",さいたま市見沼区御蔵796,35.9064357,139.6693388,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,植水保育園,"048-
623-6698
",さいたま市西区佐知川306,35.9035548,139.5871364,公立保育所,１歳〜５歳,100,7:30,19:30
11007,さいたま市,東大宮保育園,"048-
685-0601
",さいたま市見沼区丸ヶ崎町13-13,35.9536105,139.6513747,公立保育所,６か月〜５歳,106,7:30,19:30
11007,さいたま市,寿能保育園,"048-
644-0470
",さいたま市大宮区寿能町2-140,35.9211386,139.6366859,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,奈良保育園,"048-
651-7172
",さいたま市北区奈良町125-6,35.9491015,139.5979922,公立保育所,５７日〜５歳,106,7:30,19:30
11007,さいたま市,七里東保育園,"048-
683-3969
",さいたま市見沼区新堤40,35.9310369,139.6713813,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,指扇保育園,"048-
623-5065
",さいたま市西区高木567-3,35.9274483,139.5707863,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,泰平保育園,"048-
667-1847
",さいたま市北区今羽町596,35.9484806,139.6262982,公立保育所,６か月〜５歳,100,7:30,19:30
11007,さいたま市,馬宮保育園,"048-
623-4014
",さいたま市西区西遊馬119,35.9014867,139.5741551,公立保育所,６か月〜５歳,106,7:30,19:30
11007,さいたま市,三橋西保育園,"048-
622-1350
",さいたま市西区三橋6丁目381-1,35.9129169,139.5860387,公立保育所,６か月〜５歳,80,7:30,19:30
11007,さいたま市,春野保育園,"048-
686-6756
",さいたま市見沼区春野1丁目7-1,35.9556838,139.6679948,公立保育所,６か月〜５歳,100,7:30,19:30
11007,さいたま市,上落合保育園,"048-
852-1587
",さいたま市中央区上落合2丁目9-10,35.8896879,139.6263099,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,与野本町保育園,"048-
851-9057
",さいたま市中央区本町東7丁目4-19,35.8915592,139.6207431,公立保育所,５７日〜２歳,30,7:30,19:30
11007,さいたま市,大戸保育園,"048-
853-2410
",さいたま市中央区大戸2丁目7-19,35.8654006,139.6333921,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,下落合団地保育園,"048-
832-9167
",さいたま市中央区下落合3丁目8-2,35.8851949,139.6313905,公立保育所,５７日〜５歳,80,7:30,19:30
11007,さいたま市,鈴谷西保育園,"048-
853-7755
",さいたま市中央区鈴谷7丁目3-31,35.8741521,139.6261579,公立保育所,５７日〜５歳,80,7:30,19:30
11007,さいたま市,鈴谷東保育園,"048-
855-1034
",さいたま市中央区鈴谷9丁目3-2,35.8765538,139.6286983,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,八王子保育園,"048-
855-4700
",さいたま市中央区八王子5丁目12-17,35.8806327,139.6053678,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,西町保育園,"048-
756-4632
",さいたま市岩槻区西町3丁目1-24,35.9531017,139.6865264,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,岩槻本町保育園,"048-
756-7565
",さいたま市岩槻区本町2丁目5-5,35.9441537,139.6935401,公立保育所,６か月〜５歳,60,7:30,19:30
11007,さいたま市,諏訪保育園,"048-
794-1620
",さいたま市岩槻区諏訪2丁目5-1,35.9691143,139.7090236,公立保育所,６か月〜５歳,130,7:30,19:30
11007,さいたま市,美幸保育園,"048-
757-8450
",さいたま市岩槻区美幸町3-18,35.9602155,139.6909925,公立保育所,６か月〜５歳,90,7:30,19:30
