さいたま市町名別人口,2022/5/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11105,中央区　　               ,鈴谷１丁目　　　　　,スズヤ１チヨウメ　　,94,79,89,168
11105,中央区　　               ,鈴谷２丁目　　　　　,スズヤ２チヨウメ　　,711,701,732,1433
11105,中央区　　               ,鈴谷３丁目　　　　　,スズヤ３チヨウメ　　,750,709,696,1405
11105,中央区　　               ,鈴谷４丁目　　　　　,スズヤ４チヨウメ　　,1424,1414,1485,2899
11105,中央区　　               ,鈴谷５丁目　　　　　,スズヤ５チヨウメ　　,521,502,485,987
11105,中央区　　               ,鈴谷６丁目　　　　　,スズヤ６チヨウメ　　,641,696,664,1360
11105,中央区　　               ,鈴谷７丁目　　　　　,スズヤ７チヨウメ　　,1246,1368,1439,2807
11105,中央区　　               ,鈴谷８丁目　　　　　,スズヤ８チヨウメ　　,552,512,484,996
11105,中央区　　               ,鈴谷９丁目　　　　　,スズヤ９チヨウメ　　,170,136,107,243
11105,中央区　　               ,大戸１丁目　　　　　,オオト１チヨウメ　　,1057,1143,1094,2237
11105,中央区　　               ,大戸２丁目　　　　　,オオト２チヨウメ　　,450,468,455,923
11105,中央区　　               ,大戸３丁目　　　　　,オオト３チヨウメ　　,570,654,650,1304
11105,中央区　　               ,大戸４丁目　　　　　,オオト４チヨウメ　　,807,917,891,1808
11105,中央区　　               ,大戸５丁目　　　　　,オオト５チヨウメ　　,1110,1104,1138,2242
11105,中央区　　               ,大戸６丁目　　　　　,オオト６チヨウメ　　,692,686,687,1373
11105,中央区　　               ,八王子１丁目　　　　,ハチオウジ１チヨウメ,134,104,113,217
11105,中央区　　               ,八王子２丁目　　　　,ハチオウジ２チヨウメ,421,456,518,974
11105,中央区　　               ,八王子３丁目　　　　,ハチオウジ３チヨウメ,878,1011,953,1964
11105,中央区　　               ,八王子４丁目　　　　,ハチオウジ４チヨウメ,281,310,324,634
11105,中央区　　               ,八王子５丁目　　　　,ハチオウジ５チヨウメ,809,825,876,1701
11105,中央区　　               ,上峰１丁目　　　　　,ウエミネ１チヨウメ　,798,751,750,1501
11105,中央区　　               ,上峰２丁目　　　　　,ウエミネ２チヨウメ　,958,921,932,1853
11105,中央区　　               ,上峰３丁目　　　　　,ウエミネ３チヨウメ　,757,719,667,1386
11105,中央区　　               ,上峰４丁目　　　　　,ウエミネ４チヨウメ　,549,493,506,999
11105,中央区　　               ,円阿弥１丁目　　　　,エンナミ１チヨウメ　,23,37,42,79
11105,中央区　　               ,円阿弥２丁目　　　　,エンナミ２チヨウメ　,260,324,323,647
11105,中央区　　               ,円阿弥３丁目　　　　,エンナミ３チヨウメ　,127,122,138,260
11105,中央区　　               ,円阿弥４丁目　　　　,エンナミ４チヨウメ　,511,561,558,1119
11105,中央区　　               ,円阿弥５丁目　　　　,エンナミ５チヨウメ　,659,866,857,1723
11105,中央区　　               ,円阿弥６丁目　　　　,エンナミ６チヨウメ　,66,71,73,144
11105,中央区　　               ,円阿弥７丁目　　　　,エンナミ７チヨウメ　,267,290,266,556
11105,中央区　　               ,桜丘１丁目　　　　　,サクラオカ１チヨウメ,675,750,766,1516
11105,中央区　　               ,桜丘２丁目　　　　　,サクラオカ２チヨウメ,470,539,533,1072
11105,中央区　　               ,本町西１丁目　　　　,ホンマチニシ１チヨウ,696,665,672,1337
11105,中央区　　               ,本町西２丁目　　　　,ホンマチニシ２チヨウ,529,530,552,1082
11105,中央区　　               ,本町西３丁目　　　　,ホンマチニシ３チヨウ,900,880,896,1776
11105,中央区　　               ,本町西４丁目　　　　,ホンマチニシ４チヨウ,669,737,728,1465
11105,中央区　　               ,本町西５丁目　　　　,ホンマチニシ５チヨウ,493,664,678,1342
11105,中央区　　               ,本町西６丁目　　　　,ホンマチニシ６チヨウ,159,171,189,360
11105,中央区　　               ,本町東１丁目　　　　,ホンマチヒガシ１チヨ,571,514,561,1075
11105,中央区　　               ,本町東２丁目　　　　,ホンマチヒガシ２チヨ,678,557,549,1106
11105,中央区　　               ,本町東３丁目　　　　,ホンマチヒガシ３チヨ,622,596,573,1169
11105,中央区　　               ,本町東４丁目　　　　,ホンマチヒガシ４チヨ,948,896,916,1812
11105,中央区　　               ,本町東５丁目　　　　,ホンマチヒガシ５チヨ,792,768,799,1567
11105,中央区　　               ,本町東６丁目　　　　,ホンマチヒガシ６チヨ,503,560,556,1116
11105,中央区　　               ,本町東７丁目　　　　,ホンマチヒガシ７チヨ,1364,1579,1552,3131
11105,中央区　　               ,新中里１丁目　　　　,シンナカザト１チヨウ,940,1076,1108,2184
11105,中央区　　               ,新中里２丁目　　　　,シンナカザト２チヨウ,654,645,681,1326
11105,中央区　　               ,新中里３丁目　　　　,シンナカザト３チヨウ,724,764,759,1523
11105,中央区　　               ,新中里４丁目　　　　,シンナカザト４チヨウ,1068,1210,1213,2423
